"Kecamatan" "Kabupaten" "Provinsi" "Region" "WARNING"
"CIDADAP" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIDADAP" "KOTA BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIDAHU" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "233 Naik 0"
"CIDAHU" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIDAUN" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIDOLOG" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIDOLOG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIEMAS" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIGALONTANG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIGANDAMEKAR" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.8"
"CIGEDUG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIGOMBONG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIGUDEG" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIGUGUR" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.2"
"CIGUGUR" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "No Warning"
"CIHAMPLAS" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIHAURBEUTI" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIHURIP" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIJAMBE" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIJATI" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIJERUK" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIJEUNGJING" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIJULANG" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "No Warning"
"CIKADU" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIKAJANG" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIKAKAK" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIKALONG" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "239.6 Naik 0"
"CIKALONG KULON" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIKALONG WETAN" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIKAMPEK" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CIKANCUNG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIKARANG BARAT" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIKARANG PUSAT" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIKARANG SELATAN" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIKARANG TIMUR" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIKARANG UTARA" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"CIKATOMAS" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIKAUM" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"CIKEDUNG" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "232"
"CIKELET" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CIKEMBAR" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIKERUH" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CIKIDANG" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIKIJING" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"CIKOLE" "KOTA SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIKONENG" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CILACAP" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CILAKU" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CILAMAYA KULON" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CILAMAYA WETAN" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CILAWU" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"CILEBAK" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "238.6 Naik 44.4"
"CILEBAR" "KAB. KARAWANG" "JAWA BARAT" "JAWA" "No Warning"
"CILENGKRANG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CILEUNGSI" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CILEUNYI" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CILILIN" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CILIMUS" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "235.8"
"CILODONG" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"CIMAHI" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "228.4 Naik 10"
"CIMAHI SELATAN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIMAHI TENGAH" "KOTA CIMAHI" "JAWA BARAT" "JAWA" "No Warning"
"CIMAHI UTARA" "KOTA CIMAHI" "JAWA BARAT" "JAWA" "No Warning"
"CIMALAKA" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CIMANGGIS" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"CIMANGGU" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"CIMANGGUNG" "KAB. SUMEDANG" "JAWA BARAT" "JAWA" "No Warning"
"CIMARAGAS" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIMAUNG" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIMENYAN" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIMERAK" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "238.9 Naik 0"
"CINEAM" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CINERE" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"CINGAMBUL" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "No Warning"
"CINIRU" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "238.7 Naik 0"
"CIOMAS" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"CIPAKU" "KAB. CIAMIS" "JAWA BARAT" "JAWA" "No Warning"
"CIPANAS" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"CIPARAY" "KAB. BANDUNG" "JAWA BARAT" "JAWA" "No Warning"
"CIPATAT" "KAB. BANDUNG BARAT" "JAWA BARAT" "JAWA" "No Warning"
"CIPATUJAH" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"CIPAYUNG" "KOTA DEPOK" "JAWA BARAT" "JAWA" "No Warning"
"CIPEDES" "KOTA TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
