1;2;3;4;5;6;7;;;;8;;9;;
sort;longitude;latitude;area;radius minimum;radius maximum;length;elongation;eccentricityboundingbox;solidity;eccentricity eigen;calliper;rectangularity;circularityharalick;convexity
56;129,17 ;-6,88 ;4,03 ;0,42 ;73,40 ;2,36 ;0,13 ;0,87 ;1,00 ;0,46 ;2,70 ;0,83 ;5,654835289;0,98585987
57;149,49 ;-8,00 ;0,00 ;0,60 ;2,59 ;0,09 ;0,16 ;0,84 ;1,00 ;0,84 ;0,09 ;0,58 ;2,008381119;0,778703283
58;125,60 ;-7,21 ;0,18 ;4,85 ;17,67 ;0,66 ;0,50 ;0,50 ;1,00 ;0,22 ;0,66 ;0,83 ;6,43883009;0,857069631
59;120,65 ;-7,29 ;0,02 ;0,92 ;8,00 ;0,30 ;0,71 ;0,29 ;1,00 ;0,07 ;0,30 ;0,75 ;2,557415726;0,83005483
60;124,55 ;-7,31 ;0,01 ;1,50 ;3,20 ;0,13 ;0,15 ;0,85 ;1,00 ;0,44 ;0,13 ;0,63 ;5,103024484;0,872543361
61;120,83 ;-7,23 ;0,00 ;0,90 ;2,98 ;0,12 ;0,60 ;0,40 ;1,00 ;0,22 ;0,12 ;0,68 ;2,177337719;0,83268621
62;121,80 ;-5,88 ;4,66 ;26,23 ;78,58 ;3,04 ;0,32 ;0,68 ;1,00 ;0,36 ;3,08 ;0,74 ;5,39008198;0,983140456
63;130,74 ;-6,59 ;0,32 ;9,13 ;23,24 ;0,91 ;0,49 ;0,51 ;1,00 ;0,24 ;0,92 ;0,76 ;4,108957886;0,94671172
64;147,91 ;-6,79 ;0,03 ;0,96 ;7,55 ;0,25 ;0,20 ;0,80 ;1,00 ;0,91 ;0,26 ;0,64 ;3,474350524;0,830321689
65;128,77 ;-6,48 ;0,03 ;1,26 ;7,34 ;0,26 ;0,37 ;0,63 ;1,00 ;0,35 ;0,26 ;0,79 ;2,908154214;0,847057349
66;119,06 ;-6,44 ;0,00 ;1,27 ;2,85 ;0,10 ;0,26 ;0,74 ;1,00 ;0,67 ;0,10 ;0,67 ;2,891718002;0,896772687
67;130,98 ;-6,11 ;0,11 ;3,46 ;12,45 ;0,48 ;0,35 ;0,65 ;1,00 ;0,32 ;0,49 ;0,74 ;5,346476087;0,904284205
68;128,53 ;-6,07 ;0,01 ;0,65 ;5,68 ;0,21 ;0,55 ;0,45 ;1,00 ;0,16 ;0,21 ;0,75 ;2,775304494;0,920003881
69;130,20 ;-5,64 ;0,24 ;1,71 ;18,91 ;0,68 ;0,20 ;0,80 ;1,00 ;0,36 ;0,70 ;0,67 ;4,202573758;0,924552103
70;131,28 ;-5,75 ;0,09 ;5,54 ;12,26 ;0,45 ;0,34 ;0,66 ;1,00 ;0,56 ;0,46 ;0,66 ;3,375714988;0,945652983
71;117,50 ;-5,43 ;0,51 ;3,36 ;35,30 ;1,34 ;0,60 ;0,40 ;1,00 ;0,10 ;1,34 ;0,71 ;3,489784302;0,985437599
72;131,53 ;-5,67 ;0,01 ;0,76 ;2,95 ;0,11 ;0,39 ;0,61 ;1,00 ;0,29 ;0,12 ;0,72 ;5,345491344;0,726959879
73;120,29 ;-5,52 ;0,02 ;0,50 ;6,16 ;0,24 ;0,62 ;0,38 ;1,00 ;0,12 ;0,24 ;0,75 ;5,513579164;0,675421961
74;129,38 ;-5,52 ;0,04 ;3,42 ;7,98 ;0,31 ;0,47 ;0,53 ;1,00 ;0,29 ;0,31 ;0,85 ;4,135129139;0,926544271
75;131,38 ;-5,45 ;0,00 ;0,20 ;2,36 ;0,09 ;0,34 ;0,66 ;1,00 ;0,30 ;0,09 ;0,83 ;14,1583037;0,705984258
76;118,12 ;-5,40 ;0,01 ;1,74 ;4,30 ;0,17 ;0,46 ;0,54 ;1,00 ;0,18 ;0,17 ;0,64 ;3,375508552;0,950757018
77;126,41 ;-5,34 ;0,02 ;2,43 ;5,58 ;0,20 ;0,21 ;0,79 ;1,00 ;0,45 ;0,20 ;0,68 ;7,086381069;0,950430004
78;130,59 ;-5,31 ;0,01 ;1,29 ;2,82 ;0,10 ;0,08 ;0,92 ;1,00 ;0,48 ;0,11 ;0,67 ;10,80240196;0,737804722
